tweet_id,created_at,created_at_et,text,tweet_type,counts_for_resolution,in_reply_to_user_id,conversation_id,is_self_reply,like_count,reply_count,retweet_count,quote_count,impression_count,bookmark_count,source,lang
2020836688466215254,2026-02-09T12:26:26.000Z,2026-02-09T07:26:26-05:00,"Mars will start in 5 or 6 years, so will be done in parallel with the Moon, but the Moon will be the initial focus https://t.co/tP66X6MZMT",quote,True,,2020836688466215254,False,108759,8755,10544,1109,15075520,3936,,en
2020835968354513387,2026-02-09T12:23:34.000Z,2026-02-09T07:23:34-05:00,@MarioNawfal 🎯,reply,False,1319287761048723458,2020493509443362949,False,1505,126,79,2,43362,15,,qme
2020835366090293685,2026-02-09T12:21:11.000Z,2026-02-09T07:21:11-05:00,RT @libsoftiktok: OMG. Jacob Frey and Tim Walz are responsible for releasing nearly 500 criminal illegal aliens back onto the streets inste…,retweet,True,,2020835366090293685,False,0,0,3825,0,4,0,,en
2020835117590270257,2026-02-09T12:20:11.000Z,2026-02-09T07:20:11-05:00,"RT @tetsuoai: xAI added their new image generation model (grok-imagine-image-pro) to the API, so I had Grok build a simple webpage that let…",retweet,True,,2020835117590270257,False,0,0,280,0,1,0,,en
2020834709266456904,2026-02-09T12:18:34.000Z,2026-02-09T07:18:34-05:00,CBS (prior to current ownership) engaged in deliberate election interference https://t.co/pDEn4RF2ZT,quote,True,,2020834709266456904,False,138871,3534,35374,671,8992686,8097,,en
2020834460338663721,2026-02-09T12:17:35.000Z,2026-02-09T07:17:35-05:00,Yes https://t.co/Cp9wfVjTBp,quote,True,,2020834460338663721,False,324133,5367,50907,801,7926717,4126,,qst
2020834266716987767,2026-02-09T12:16:49.000Z,2026-02-09T07:16:49-05:00,"RT @BasilTheGreat: 🚨BREAKING: J.K ROWLING CALLS FOR KEIR STARMER TO RESIGN

Literally nobody likes him
He is the worst PM in history
It's t…",retweet,True,,2020834266716987767,False,0,0,2411,0,1,0,,en
2020834163839127815,2026-02-09T12:16:24.000Z,2026-02-09T07:16:24-05:00,"@AdamLowisz “Bad News Bannon” 

He’s bad news wherever he goes.",reply,False,17050482,2020733775609524580,False,6025,310,401,13,99867,63,,en
2020834051809259782,2026-02-09T12:15:57.000Z,2026-02-09T07:15:57-05:00,RT @AdamLowisz: We need to seriously investigate Steve Bannon and his connection to Epstein. This guy was defending him way too hard. There…,retweet,True,,2020834051809259782,False,0,0,498,0,1,0,,en
2020833977603694966,2026-02-09T12:15:40.000Z,2026-02-09T07:15:40-05:00,RT @PeterSweden7: Sweden now has over 600% more reported r*pes than El Salvador.,retweet,True,,2020833977603694966,False,0,0,1874,0,6,0,,en
2020833938185531758,2026-02-09T12:15:30.000Z,2026-02-09T07:15:30-05:00,@BasedMikeLee 💯,reply,False,1551266822460162051,2020707552041095455,False,2045,84,94,1,34743,18,,qme
2020833891251335217,2026-02-09T12:15:19.000Z,2026-02-09T07:15:19-05:00,Tesla https://t.co/qgBZWiSqvS,quote,True,,2020833891251335217,False,21386,1462,3217,98,2447464,945,,tr
2020833795277304071,2026-02-09T12:14:56.000Z,2026-02-09T07:14:56-05:00,RT @TheCaptainEli: Watching 2009 Elon Musk on Charlie Rose casually drop one of the clearest explanations ever about suborbital vs orbital…,retweet,True,,2020833795277304071,False,0,0,450,0,1,0,,en
2020833610849546434,2026-02-09T12:14:12.000Z,2026-02-09T07:14:12-05:00,@KAGdrogo Bad people,reply,False,1487238241237356547,2020623921788375404,False,11884,350,592,15,107386,84,,en
2020833215582449874,2026-02-09T12:12:38.000Z,2026-02-09T07:12:38-05:00,"RT @muskosophy: “If the president cannot get things implemented as a reflection of the will of the people, then what we have is not a democ…",retweet,True,,2020833215582449874,False,0,0,889,0,2,0,,en
2020833176294465966,2026-02-09T12:12:29.000Z,2026-02-09T07:12:29-05:00,"RT @DerrickEvans4WV: 🚨Elon Musk: ""It’s mind-blowing that not a single person on the Epstein client list has been prosecuted, not even the w…",retweet,True,,2020833176294465966,False,0,0,1882,0,2,0,,en
2020833104940965925,2026-02-09T12:12:12.000Z,2026-02-09T07:12:12-05:00,RT @TheAliceSmith: https://t.co/NgSmRY1bDX,retweet,True,,2020833104940965925,False,0,0,934,0,7,0,,zxx
2020832639943647682,2026-02-09T12:10:21.000Z,2026-02-09T07:10:21-05:00,"RT @MarsUniversityX: Elon Musk: “Nothing any of my companies have done has been to stifle competition. In fact, we've done the opposite,

A…",retweet,True,,2020832639943647682,False,0,0,853,0,1,0,,en
2020832190268117455,2026-02-09T12:08:34.000Z,2026-02-09T07:08:34-05:00,RT @LeeHurstComic: Good to know the NHS is now so morally bankrupt that all doctors are allowed one free rape each. https://t.co/1eVjVL2akq,retweet,True,,2020832190268117455,False,0,0,5522,0,5,0,,en
2020832129295524281,2026-02-09T12:08:19.000Z,2026-02-09T07:08:19-05:00,"RT @awstar11: ""Far Right"" in 2026 is basically mainstream liberal from 1985",retweet,True,,2020832129295524281,False,0,0,589,0,6,0,,en
2020832004062019826,2026-02-09T12:07:49.000Z,2026-02-09T07:07:49-05:00,"@aakashgupta Starship V4 Tanker version will deliver &gt;200 tons of propellant per flight, so more like 5 or 6 tanker flights to refill the lunar transit Starship in orbit. 

Shouldn’t be too much of a problem if we’re doing &gt;10k flights/year.",reply,False,101805159,2020668876384793070,False,4994,310,326,52,312527,279,,en
2020830391628861701,2026-02-09T12:01:25.000Z,2026-02-09T07:01:25-05:00,@MarioNawfal Terrible,reply,False,1319287761048723458,2020809892819292308,False,5790,287,273,9,195851,64,,en
2020829928745562499,2026-02-09T11:59:34.000Z,2026-02-09T06:59:34-05:00,"And another one down. 

But still no arrests … https://t.co/WP8u03QC3g",quote,True,,2020829928745562499,False,227108,9178,41911,1007,11043889,5665,,en
2020829556719104455,2026-02-09T11:58:06.000Z,2026-02-09T06:58:06-05:00,@IterIntellectus Extremely disturbing,reply,False,1655936149733654530,2020775778582217052,False,27984,739,1133,85,707272,322,,en
2020829450347360323,2026-02-09T11:57:40.000Z,2026-02-09T06:57:40-05:00,Literally the same party https://t.co/Hvo0pZFQeV,quote,True,,2020829450347360323,False,119437,3856,18872,447,44992676,4262,,en
2020829121916412129,2026-02-09T11:56:22.000Z,2026-02-09T06:56:22-05:00,"@peterrhague As I said in my post, we will still do Mars in parallel, but the critical path to a self-growing Moon city is faster.

The Moon city can be made to be self-growing in less than half the time of Mars. 

The critical juncture for humanity’s expansion beyond Earth is having a",reply,False,28138103,2020758031827362197,False,6112,827,426,88,278299,263,,en
2020827391107768515,2026-02-09T11:49:29.000Z,2026-02-09T06:49:29-05:00,@visegrad24 !!,reply,False,1222773302441148416,2020630285923316129,False,1729,124,58,8,155943,21,,qam
2020827122387013857,2026-02-09T11:48:25.000Z,2026-02-09T06:48:25-05:00,Grok downloads surge 43% month over month! https://t.co/VqzgljLJNQ,quote,True,,2020827122387013857,False,11163,1770,1780,71,1620839,243,,en
2020826809093501317,2026-02-09T11:47:11.000Z,2026-02-09T06:47:11-05:00,@MarioNawfal You can see the evil oozing out of Bannon’s face,reply,False,1319287761048723458,2020811460977263031,False,11258,915,748,71,350616,169,,en
2020825593907151072,2026-02-09T11:42:21.000Z,2026-02-09T06:42:21-05:00,No kidding … https://t.co/1GA5gHU9Lr,quote,True,,2020825593907151072,False,148008,4583,20862,487,25394568,6069,,en
2020825161193419036,2026-02-09T11:40:38.000Z,2026-02-09T06:40:38-05:00,Incentives explain behavior https://t.co/KIuT4frR1w,quote,True,,2020825161193419036,False,59851,1678,14244,254,5831606,2768,,en
2020739275466133580,2026-02-09T05:59:21.000Z,2026-02-09T00:59:21-05:00,"RT @MikeBenzCyber: This is why the corrupt Spanish government is suddenly rushing to flood the country with 500,000 immigrants &amp; criminaliz…",retweet,True,,2020739275466133580,False,0,0,5811,0,2,0,,en
